"NEW PRICI NG DETA ILS
Region:Eastern RegionProduct:HSD (in KL)Approved Date:2021-08-16
#StationRSP/KLRSP/L
1Samdrup Jongkhar Gate68901.168.9
2Nganglam Potonala68511.8268.51
3Wamrong70295.0470.3
4Trashigang70597.3370.6
5Trashiyangtse71472.9371.47
6Mongar71645.9771.65
7Gyelposing71652.3371.65
8Kanglung70754.270.75
9Pemagatshel70176.4670.18
10Lhuntse72182.972.18
11Jomotsangkha68901.168.9
12Autsho71833.2471.83
13Doksum70875.2270.88
14Bhangtar69509.0269.51
15Rangjung70868.9770.87",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,68901.1,68.9
2,Nganglam Potonala,68511.82,68.51
3,Wamrong,70295.04,70.3
4,Trashigang,70597.33,70.6
5,Trashiyangtse,71472.93,71.47
6,Mongar,71645.97,71.65
7,Gyelposing,71652.33,71.65
8,Kanglung,70754.2,70.75
9,Pemagatshel,70176.46,70.18
10,Lhuntse,72182.9,72.18
11,Jomotsangkha,68901.1,68.9
12,Autsho,71833.24,71.83
13,Doksum,70875.22,70.88
14,Bhangtar,69509.02,69.51
15,Rangjung,70868.97,70.87
