"NEW PRICI NG DETA ILS
Region:Western RegionProduct:MS (in KL)Approved Date:2020-03-01
#StationRSP/KLRSP/L
1Phuentsholing60712.4960.71
2Rinchending60792.9560.79
3Pasakha60846.5960.85
4Chimakothi62291.3762.29
5Chubachu62743.5162.74
6Paro Shaba62750.1262.75
7Haa63537.5563.54
8Wangdue Zero Point62925.5362.93
9Beychu63149.0363.15
10Samtse Checkpost60825.4660.83
11Sipsoo61879.2861.88
12Pagli60778.7660.78
13Gedu61884.4161.88
14Mitsina62836.1362.84
15Khuruthang62899.6962.9
16Gasa64310.9364.31
17Dorokha61597.8861.6
18Langdru (Khasadrapchu)62591.5362.59",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,60712.49,60.71
2,Rinchending,60792.95,60.79
3,Pasakha,60846.59,60.85
4,Chimakothi,62291.37,62.29
5,Chubachu,62743.51,62.74
6,Paro Shaba,62750.12,62.75
7,Haa,63537.55,63.54
8,Wangdue Zero Point,62925.53,62.93
9,Beychu,63149.03,63.15
10,Samtse Checkpost,60825.46,60.83
11,Sipsoo,61879.28,61.88
12,Pagli,60778.76,60.78
13,Gedu,61884.41,61.88
14,Mitsina,62836.13,62.84
15,Khuruthang,62899.69,62.9
16,Gasa,64310.93,64.31
17,Dorokha,61597.88,61.6
18,Langdru (Khasadrapchu),62591.53,62.59
