"NEW PRICI NG DETA ILS
Region:Western RegionProduct:MS (in KL)Approved Date:2020-11-16
#StationRSP/KLRSP/L
1Phuentsholing54773.5854.77
2Rinchending54854.0454.85
3Pasakha54907.6854.91
4Chimakothi56279.7856.28
5Chubachu56736.7656.74
6Paro Shaba56737.3656.74
7Haa5749857.5
8Wangdue Zero Point56952.356.95
9Beychu57175.857.18
10Samtse Checkpost54333.0854.33
11Sipsoo55932.2555.93
12Pagli54390.9354.39
13Gedu55871.555.87
14Mitsina56862.956.86
15Khuruthang56928.1456.93
16Gasa58277.1658.28
17Dorokha55624.2155.62
18Langdru (Khasadrapchu)56584.7856.58",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,54773.58,54.77
2,Rinchending,54854.04,54.85
3,Pasakha,54907.68,54.91
4,Chimakothi,56279.78,56.28
5,Chubachu,56736.76,56.74
6,Paro Shaba,56737.36,56.74
7,Haa,57498,57.5
8,Wangdue Zero Point,56952.3,56.95
9,Beychu,57175.8,57.18
10,Samtse Checkpost,54333.08,54.33
11,Sipsoo,55932.25,55.93
12,Pagli,54390.93,54.39
13,Gedu,55871.5,55.87
14,Mitsina,56862.9,56.86
15,Khuruthang,56928.14,56.93
16,Gasa,58277.16,58.28
17,Dorokha,55624.21,55.62
18,Langdru (Khasadrapchu),56584.78,56.58
