"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-12-16#StationRSP/KLRSP/L1Phuentsholing57909.9457.912Rinchending57990.457.993Pasakha58044.0458.044Chimakothi59454.5259.455Chubachu59908.9559.916Paro Shaba59912.7259.917Haa60687.5160.698Wangdue Zero Point60106.7860.119Beychu60330.2860.3310Samtse Checkpost57469.1157.4711Sipsoo59072.959.0712Pagli57527.2857.5313Gedu59046.9459.0514Mitsina60017.3860.0215Khuruthang60081.7460.0816Gasa61463.6161.4617Dorokha58778.9358.7818Langdru (Khasadrapchu)59756.9759.76",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57909.94,57.91
2,Rinchending,57990.4,57.99
3,Pasakha,58044.04,58.04
4,Chimakothi,59454.52,59.45
5,Chubachu,59908.95,59.91
6,Paro Shaba,59912.72,59.91
7,Haa,60687.51,60.69
8,Wangdue Zero Point,60106.78,60.11
9,Beychu,60330.28,60.33
10,Samtse Checkpost,57469.11,57.47
11,Sipsoo,59072.9,59.07
12,Pagli,57527.28,57.53
13,Gedu,59046.94,59.05
14,Mitsina,60017.38,60.02
15,Khuruthang,60081.74,60.08
16,Gasa,61463.61,61.46
17,Dorokha,58778.93,58.78
18,Langdru (Khasadrapchu),59756.97,59.76
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2020-12-16#StationRSP/KLRSP/L1Phuentsholing57909.9457.912Rinchending57990.457.993Pasakha58044.0458.044Chimakothi59454.5259.455Chubachu59908.9559.916Paro Shaba59912.7259.917Haa60687.5160.698Wangdue Zero Point60106.7860.119Beychu60330.2860.3310Samtse Checkpost57469.1157.4711Sipsoo59072.959.0712Pagli57527.2857.5313Gedu59046.9459.0514Mitsina60017.3860.0215Khuruthang60081.7460.0816Gasa61463.6161.4617Dorokha58778.9358.7818Langdru (Khasadrapchu)59756.9759.76",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,57909.94,57.91
2,Rinchending,57990.4,57.99
3,Pasakha,58044.04,58.04
4,Chimakothi,59454.52,59.45
5,Chubachu,59908.95,59.91
6,Paro Shaba,59912.72,59.91
7,Haa,60687.51,60.69
8,Wangdue Zero Point,60106.78,60.11
9,Beychu,60330.28,60.33
10,Samtse Checkpost,57469.11,57.47
11,Sipsoo,59072.9,59.07
12,Pagli,57527.28,57.53
13,Gedu,59046.94,59.05
14,Mitsina,60017.38,60.02
15,Khuruthang,60081.74,60.08
16,Gasa,61463.61,61.46
17,Dorokha,58778.93,58.78
18,Langdru (Khasadrapchu),59756.97,59.76
