"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-01-01#StationRSP/KLRSP/L1Phuentsholing58108.458.112Rinchending58188.8658.193Pasakha58242.558.244Chimakothi59655.4159.665Chubachu60109.6760.116Paro Shaba60113.6560.117Haa60889.3360.898Wangdue Zero Point60306.3960.319Beychu60529.8960.5310Samtse Checkpost57667.9257.6711Sipsoo59271.6359.2712Pagli57725.7557.7313Gedu59247.8759.2514Mitsina60216.9960.2215Khuruthang60281.2960.2816Gasa61665.2461.6717Dorokha58978.5558.9818Langdru (Khasadrapchu)59957.6959.96",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,58108.4,58.11
2,Rinchending,58188.86,58.19
3,Pasakha,58242.5,58.24
4,Chimakothi,59655.41,59.66
5,Chubachu,60109.67,60.11
6,Paro Shaba,60113.65,60.11
7,Haa,60889.33,60.89
8,Wangdue Zero Point,60306.39,60.31
9,Beychu,60529.89,60.53
10,Samtse Checkpost,57667.92,57.67
11,Sipsoo,59271.63,59.27
12,Pagli,57725.75,57.73
13,Gedu,59247.87,59.25
14,Mitsina,60216.99,60.22
15,Khuruthang,60281.29,60.28
16,Gasa,61665.24,61.67
17,Dorokha,58978.55,58.98
18,Langdru (Khasadrapchu),59957.69,59.96
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-01-01#StationRSP/KLRSP/L1Phuentsholing58108.458.112Rinchending58188.8658.193Pasakha58242.558.244Chimakothi59655.4159.665Chubachu60109.6760.116Paro Shaba60113.6560.117Haa60889.3360.898Wangdue Zero Point60306.3960.319Beychu60529.8960.5310Samtse Checkpost57667.9257.6711Sipsoo59271.6359.2712Pagli57725.7557.7313Gedu59247.8759.2514Mitsina60216.9960.2215Khuruthang60281.2960.2816Gasa61665.2461.6717Dorokha58978.5558.9818Langdru (Khasadrapchu)59957.6959.96",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,58108.4,58.11
2,Rinchending,58188.86,58.19
3,Pasakha,58242.5,58.24
4,Chimakothi,59655.41,59.66
5,Chubachu,60109.67,60.11
6,Paro Shaba,60113.65,60.11
7,Haa,60889.33,60.89
8,Wangdue Zero Point,60306.39,60.31
9,Beychu,60529.89,60.53
10,Samtse Checkpost,57667.92,57.67
11,Sipsoo,59271.63,59.27
12,Pagli,57725.75,57.73
13,Gedu,59247.87,59.25
14,Mitsina,60216.99,60.22
15,Khuruthang,60281.29,60.28
16,Gasa,61665.24,61.67
17,Dorokha,58978.55,58.98
18,Langdru (Khasadrapchu),59957.69,59.96
