"#",Station,RSP/KL,RSP/L
1,Phuentsholing,60078.51,60.08
2,Rinchending,60158.97,60.16
3,Pasakha,60212.61,60.21
4,Chimakothi,61450.64,61.45
5,Chubachu,61916.53,61.92
6,Paro Shaba,61906.06,61.91
7,Haa,62617.29,62.62
8,Wangdue Zero Point,62193.9,62.19
9,Beychu,62417.4,62.42
10,Samtse Checkpost,60506.08,60.51
11,Sipsoo,61222.19,61.22
12,Pagli,60338.38,60.34
13,Gedu,61039.94,61.04
14,Mitsina,62104.5,62.1
15,Khuruthang,62172.86,62.17
16,Gasa,63407.11,63.41
