"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,64338.11,64.34
2,Nganglam,64338.11,64.34
3,Wamrong,65879.43,65.88
4,Trashigang,66059.54,66.06
5,Trashiyangtse,67048.91,67.05
6,Mongar,67176.27,67.18
7,Gyelposing,67091.26,67.09
8,Kanglung,66318.81,66.32
9,Pemagatshel,65723.91,65.72
10,Lhuntse,67674.52,67.67
11,Jomotsangkha,63045.89,63.05
12,Autsho,67303.86,67.3
13,Doksum,66353.19,66.35
14,Bhangtar,64946.03,64.95
15,Rangjung,66365.85,66.37
