Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Gelephu Town,69708.61,69.71
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Sarpang,70090.23,70.09
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Dagapela,71557.92,71.56
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Tsirang,71098.95,71.1
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Zhemgang,74234.23,74.23
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Trongsa,73208.06,73.21
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Bumthang,73747.08,73.75
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Dagana,72089.59,72.09
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Lhamoizingkha,74218.21,74.22
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Dangdung,73245.67,73.25
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Panbang,71261.14,71.26
Central Region,MS (in KL),Bharat Petroleum Corporation Limited,2021-09-16,Tingtibi,71516.23,71.52
